Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 16:00:00-05:00,2.66,,
2025-10-30 16:00:00-04:00,1.77,1.85,4.47
2025-07-31 16:00:00-04:00,1.43,1.57,9.48
2025-05-01 16:00:00-04:00,1.63,1.65,1.5
2025-01-30 16:00:00-05:00,2.35,2.4,2.26
2024-10-31 16:00:00-04:00,1.6,1.64,2.28
2024-08-01 16:00:00-04:00,1.34,1.4,4.3
2024-05-02 16:00:00-04:00,1.51,1.53,1.46
2024-02-01 16:00:00-05:00,2.11,2.18,3.55
2023-11-02 16:00:00-04:00,1.39,1.46,4.82
2023-08-03 16:00:00-04:00,1.19,1.26,5.47
2023-05-04 16:00:00-04:00,1.43,1.52,6.28
2023-02-02 16:00:00-05:00,1.95,1.88,-3.67
2022-10-27 16:00:00-04:00,1.27,1.29,1.44
2022-07-28 16:00:00-04:00,1.16,1.2,3.86
2022-04-28 16:00:00-04:00,1.43,1.52,6.3
2022-01-27 16:00:00-05:00,1.89,2.1,11.16
2021-10-28 16:00:00-04:00,1.24,1.24,0.17
2021-07-27 16:00:00-04:00,1.01,1.3,28.18
2021-04-28 16:00:00-04:00,0.98,1.4,42.16
2021-01-27 16:00:00-05:00,1.42,1.68,18.67
2020-10-29 16:00:00-04:00,0.7,0.73,4.48
2020-07-30 16:00:00-04:00,0.52,0.65,24.47
2020-04-30 17:00:00-04:00,0.56,0.64,12.93
2020-01-28 16:00:00-05:00,1.13,1.25,9.93
2019-10-30 16:00:00-04:00,0.71,0.76,6.54
2019-07-30 16:00:00-04:00,0.53,0.55,3.71
2019-04-30 16:00:00-04:00,0.59,0.62,4.05
2019-01-29 16:00:00-05:00,1.04,1.05,0.27
2018-11-01 16:00:00-04:00,0.7,0.73,4.55
2018-07-31 16:00:00-04:00,0.55,0.59,7.33
2018-05-01 16:00:00-04:00,0.67,0.68,2.19
2018-02-01 16:00:00-05:00,0.96,0.97,1.1
2017-11-02 16:00:00-04:00,0.47,0.52,10.53
2017-08-01 16:00:00-04:00,0.39,0.42,6.15
2017-05-02 16:00:00-04:00,0.51,0.53,3.88
2017-01-31 16:00:00-05:00,0.81,0.84,4.28
2016-10-25 16:00:00-04:00,0.41,0.42,0.81
2016-07-26 16:00:00-04:00,0.35,0.36,2.74
2016-04-26 16:00:00-04:00,0.5,0.48,-5.09
2016-01-26 16:00:00-05:00,0.81,0.82,1.67
2015-10-27 16:00:00-04:00,0.47,0.49,4.65
2015-07-21 16:00:00-04:00,0.45,0.46,1.89
2015-04-27 16:00:00-04:00,0.54,0.58,7.93
2015-01-27 16:00:00-05:00,0.65,0.77,17.36
2014-10-20 16:00:00-04:00,0.33,0.36,8.62
2014-07-22 16:00:00-04:00,0.31,0.32,3.82
2014-04-23 16:00:00-04:00,0.36,0.42,14.28
2014-01-27 16:00:00-05:00,0.5,0.52,3.22
2013-10-28 16:00:00-04:00,0.28,0.3,3.79
