Ticker,Earnings_Date,EPS_Estimate,EPS_Actual,EPS_Surprise,Surprise_Pct
AAPL,2026-01-29,2.66,NA,NA,NA
AAPL,2025-10-30,1.77,1.85,0.08000000000000007,4.47
AAPL,2025-07-31,1.43,1.57,0.14000000000000012,9.48
AAPL,2025-05-01,1.63,1.65,0.020000000000000018,1.5
AAPL,2025-01-30,2.35,2.4,0.04999999999999982,2.26
AAPL,2024-10-31,1.6,1.64,0.039999999999999813,2.28
AAPL,2024-08-01,1.34,1.4,0.05999999999999983,4.3
AAPL,2024-05-02,1.51,1.53,0.020000000000000018,1.46
AAPL,2024-02-01,2.11,2.18,0.07000000000000028,3.55
AAPL,2023-11-02,1.39,1.46,0.07000000000000006,4.82
AAPL,2023-08-03,1.19,1.26,0.07000000000000006,5.47
AAPL,2023-05-04,1.43,1.52,0.09000000000000008,6.28
AAPL,2023-02-02,1.95,1.88,-0.07000000000000006,-3.67
AAPL,2022-10-27,1.27,1.29,0.020000000000000018,1.44
AAPL,2022-07-28,1.16,1.2,0.040000000000000036,3.86
AAPL,2022-04-28,1.43,1.52,0.09000000000000008,6.3
AAPL,2022-01-27,1.89,2.1,0.2100000000000002,11.16
AAPL,2021-10-28,1.24,1.24,0,0.17
AAPL,2021-07-27,1.01,1.3,0.29000000000000004,28.18
AAPL,2021-04-28,0.98,1.4,0.41999999999999993,42.16
AAPL,2021-01-27,1.42,1.68,0.26,18.67
AAPL,2020-10-29,0.7,0.73,0.030000000000000027,4.48
AAPL,2020-07-30,0.52,0.65,0.13,24.47
AAPL,2020-04-30,0.56,0.64,0.07999999999999996,12.93
AAPL,2020-01-28,1.13,1.25,0.1200000000000001,9.93
AAPL,2019-10-30,0.71,0.76,0.050000000000000044,6.54
AAPL,2019-07-30,0.53,0.55,0.020000000000000018,3.71
AAPL,2019-04-30,0.59,0.62,0.030000000000000027,4.05
AAPL,2019-01-29,1.04,1.05,0.010000000000000009,0.27
AAPL,2018-11-01,0.7,0.73,0.030000000000000027,4.55
AAPL,2018-07-31,0.55,0.59,0.039999999999999925,7.33
AAPL,2018-05-01,0.67,0.68,0.010000000000000009,2.19
AAPL,2018-02-01,0.96,0.97,0.010000000000000009,1.1
AAPL,2017-11-02,0.47,0.52,0.050000000000000044,10.53
AAPL,2017-08-01,0.39,0.42,0.02999999999999997,6.15
AAPL,2017-05-02,0.51,0.53,0.020000000000000018,3.88
AAPL,2017-01-31,0.81,0.84,0.029999999999999916,4.28
AAPL,2016-10-25,0.41,0.42,0.010000000000000009,0.81
AAPL,2016-07-26,0.35,0.36,0.010000000000000009,2.74
AAPL,2016-04-26,0.5,0.48,-0.020000000000000018,-5.09
AAPL,2016-01-26,0.81,0.82,0.009999999999999898,1.67
AAPL,2015-10-27,0.47,0.49,0.020000000000000018,4.65
AAPL,2015-07-21,0.45,0.46,0.010000000000000009,1.89
AAPL,2015-04-27,0.54,0.58,0.039999999999999925,7.93
AAPL,2015-01-27,0.65,0.77,0.12,17.36
AAPL,2014-10-20,0.33,0.36,0.02999999999999997,8.62
AAPL,2014-07-22,0.31,0.32,0.010000000000000009,3.82
AAPL,2014-04-23,0.36,0.42,0.06,14.28
AAPL,2014-01-27,0.5,0.52,0.020000000000000018,3.22
AAPL,2013-10-28,0.28,0.3,0.019999999999999962,3.79
